Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
colroado rocky mountains,1,2,0.00%,100.00%,0:01:24,6,placename,placename,,placename,,,single
Continental divide,1,2,0.00%,0.00%,0:03:04,9,placename,placename,,placename,,,single
CU,1,1,0.00%,100.00%,0:06:18,7,placename,placename,,placename,,,single
CU Boulder,1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
denver,3,1.67,66.67%,40.00%,0:00:14,0.33,placename,placename,,placename,,,single
Denver,2,1.5,50.00%,0.00%,0:01:36,3,placename,placename,,placename,,,single
denver topogrpahy,1,1,100.00%,0.00%,0:00:00,0,placename|datatype,topical,,placename,datatype,,combined
Elyria Swansea,1,1,0.00%,0.00%,0:01:00,3,placename,placename,,placename,,,single
estes,1,1,0.00%,100.00%,0:00:34,0,placename,placename,,placename,,,single
fancy lake,1,1,0.00%,0.00%,0:00:17,2,placename,placename,,placename,,,single
florida,1,1,0.00%,100.00%,0:00:02,0,placename,placename,,placename,,,single
Flying J Ranch,1,2,0.00%,50.00%,0:00:13,0,placename,placename,,placename,,,single
"Flying J Ranch, Conifer",1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Georgia,1,1,0.00%,0.00%,0:03:03,18,placename,placename,,placename,,,single
giplin county,1,2,100.00%,0.00%,0:00:05,0,placename,placename,,placename,,,single
glenwood springs,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
golden,1,2,0.00%,50.00%,0:00:08,2,placename,placename,,placename,,,single
Grand Canyon,1,1,0.00%,0.00%,0:00:11,1,placename,placename,,placename,,,single
grand county,1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
gunnison river basin,1,3,0.00%,0.00%,0:30:11,3,placename,placename,,placename,,,single
Haiti,1,2,100.00%,0.00%,0:00:03,0,placename,placename,,placename,,,single
Hamburg,1,1,0.00%,0.00%,0:13:42,17,placename,placename,,placename,,,single
"Hamburg, Michigan",1,1,0.00%,100.00%,0:00:06,1,placename,placename,,placename,,,single
hong kong,2,1.5,0.00%,66.67%,0:00:05,0.5,placename,placename,,placename,,,single
Hwy 285 historical map,1,1,0.00%,100.00%,0:00:15,1,placename|format,placename,,placename,format,,combined
Hwy 285 map,1,1,0.00%,100.00%,0:00:15,1,placename|format,placename,,placename,format,,combined
iceland,1,1,0.00%,0.00%,0:00:09,1,placename,placename,,placename,,,single
iran,1,1,0.00%,100.00%,0:00:23,1,placename,placename,,placename,,,single
jefferson county,1,2,0.00%,0.00%,0:00:41,3,placename,placename,,placename,,,single
lake powell,1,1,0.00%,100.00%,0:00:08,1,placename,placename,,placename,,,single
"lakewood, colorado",1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
land types of Colorado,1,1,0.00%,100.00%,0:00:44,0,placename|topical,topical,,placename,topical,,combined
larimer county,2,1,0.00%,50.00%,0:01:32,4,placename,placename,,placename,,,single
larimer county colorado,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Las Vegas,1,1,0.00%,100.00%,0:00:06,0,placename,placename,,placename,,,single
"leadville, CO",1,1,0.00%,0.00%,0:00:16,2,placename,placename,,placename,,,single
longmount,1,2,0.00%,50.00%,0:00:09,1,placename,placename,,placename,,,single
louisana,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Loveland,1,1,0.00%,0.00%,0:00:02,1,placename,placename,,placename,,,single
Lubbock TX,1,1,0.00%,100.00%,0:00:20,1,placename,placename,,placename,,,single
Mancos,1,1,0.00%,100.00%,0:00:37,1,placename,placename,,placename,,,single
"Mancos, CO",1,1,0.00%,100.00%,0:00:16,1,placename,placename,,placename,,,single
mars,1,1,0.00%,0.00%,0:02:05,12,placename,placename,,placename,,,single
mcbroom ditch,1,1,0.00%,100.00%,0:00:10,1,placename,placename,,placename,,,single
mesa colorado,1,1,0.00%,100.00%,0:00:12,1,placename,placename,,placename,,,single
Mesa Verde,1,1,0.00%,0.00%,0:09:02,46,placename,placename,,placename,,,single
"mesa, co",1,1,0.00%,0.00%,0:02:31,7,placename,placename,,placename,,,single
mines colorado,1,1,0.00%,0.00%,0:00:05,1,placename|locational,locational,,placename,locational,,combined
monument co,1,2,0.00%,50.00%,0:00:17,2,placename,placename,,placename,,,single
mt. saint helens,1,1,0.00%,100.00%,0:00:14,1,placename,placename,,placename,,,single
nebraska streams,1,2,0.00%,0.00%,0:26:54,5,placename|locational,locational,,placename,locational,,combined
nederland,1,1,0.00%,0.00%,0:01:27,4,placename,placename,,placename,,,single
nepal,2,1,50.00%,50.00%,0:00:12,2.5,placename,placename,,placename,,,single
nevada,1,1,0.00%,0.00%,0:00:09,1,placename,placename,,placename,,,single
odessa lake,1,1,0.00%,100.00%,0:01:07,3,placename,placename,,placename,,,single
oregon state,1,1,0.00%,100.00%,0:00:17,0,placename,placename,,placename,,,single
ouarzazte,1,1,0.00%,0.00%,0:00:22,3,placename,,,placename,,,single
pachitea,1,1,0.00%,0.00%,0:00:01,1,placename,,,placename,,,single
PACIFIC OCEAN,1,2,0.00%,50.00%,0:00:27,3,placename,placename,,placename,,,single
petersburg colorado,1,1,0.00%,100.00%,0:00:06,0,placename,placename,,placename,,,single
phoenix az,1,2,0.00%,50.00%,0:00:17,1,placename,placename,,placename,,,single
Pike San Isabel National Forest,1,1,0.00%,100.00%,0:00:02,0,placename,placename,,placename,,,single
Pike San Isabell National Forest,1,1,0.00%,0.00%,0:39:29,43,placename,placename,,placename,,,single
pitkin,1,4,100.00%,0.00%,0:02:51,2,placename,placename,,placename,,,single
plutonium and new mexico,1,1,0.00%,0.00%,0:00:06,1,placename|topical,topical|placename,,placename,topical,,combined
Puget Sound,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Rio Grande Natural Area,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Rmnp,1,1,0.00%,100.00%,0:00:08,1,placename,placename,,placename,,,single
rocky mountain,1,1,0.00%,0.00%,0:06:31,20,placename,placename,,placename,,,single
Rocky mountain,1,1,0.00%,100.00%,0:00:08,0,placename,placename,,placename,,,single
Rocky Mountain National Park,1,1,0.00%,0.00%,0:04:15,22,placename,placename,,placename,,,single
Rocky mountains,1,2,0.00%,50.00%,0:00:09,1,placename,placename,,placename,,,single
Rocky Point,1,1,0.00%,100.00%,0:00:06,0,placename,placename,,placename,,,single
San Isabel National Forest,1,2,0.00%,50.00%,0:01:14,37,placename,placename,,placename,,,single
san juan,1,2,0.00%,0.00%,0:01:02,5,placename,placename,,placename,,,single
san juan river,1,1,0.00%,0.00%,0:00:33,1,placename,placename,,placename,,,single
sheridan colorado,2,1,0.00%,100.00%,0:00:10,0,placename,placename,,placename,,,single
sitka,1,1,0.00%,100.00%,0:00:07,0,placename,placename,,placename,,,single
skamania county,1,1,0.00%,100.00%,0:00:04,0,placename,placename,,placename,,,single
Sudan,1,1,0.00%,100.00%,0:01:52,12,placename,placename,,placename,,,single
taiwan,1,1,0.00%,0.00%,0:00:03,1,placename,placename,,placename,,,single
texas,2,1.5,0.00%,0.00%,0:11:19,2,placename,placename,,placename,,,single
triassic outcrops in colorado,1,1,0.00%,100.00%,0:00:31,0,placename|locational,topical,,placename,locational,,combined
University of Colorado Boulder Campus Map,1,1,0.00%,0.00%,0:00:04,1,placename|format,placename,,placename,format,,combined
utah,1,1,0.00%,0.00%,0:00:16,2,placename,placename,,placename,,,single
utah basemap,1,1,0.00%,100.00%,0:00:04,0,placename|datatype,placename,,placename,datatype,,combined
WA City shape border file,1,1,0.00%,0.00%,0:00:45,2,placename|datatype,placename|datatype,,placename,datatype,,combined
WA City shape border file\,1,1,0.00%,100.00%,0:00:03,0,placename|datatype,placename|datatype,,placename,datatype,,combined
washington,2,2.5,50.00%,0.00%,0:00:45,1.5,placename,placename,,placename,,,single
Washington State Water,1,1,0.00%,100.00%,0:00:04,0,placename|locational,locational,,placename,locational,,combined
Washington State Waterway,1,1,0.00%,100.00%,0:00:03,0,placename|locational,locational,,placename,locational,,combined
Washington State Waterways,1,1,0.00%,100.00%,0:00:04,0,placename|locational,locational,,placename,locational,,combined
Washington Water,1,1,0.00%,100.00%,0:00:04,0,placename|locational,locational,,placename,locational,,combined
weld county colorado,1,1,0.00%,0.00%,0:00:02,1,placename,placename,,placename,,,single
wyoming,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Yellowstone,3,1,0.00%,33.33%,0:02:32,15,placename,placename,,placename,,,single
Blm roads,1,1,0.00%,100.00%,0:00:05,0,publication,publication,,publication,,,single
census 2010,2,2,0.00%,50.00%,0:07:56,1,publication,publication,,publication,,,single
Census 2010,2,1,0.00%,50.00%,0:00:13,0.5,publication,publication,,publication,,,single
"Census 2010, Colorado, Current Census Tracked (2017 revision)",1,1,0.00%,0.00%,0:00:05,1,publication,publication,,publication,,,single
"Census 2010, Colorado, Current Census Tract",1,1,0.00%,0.00%,0:00:07,1,publication,publication,,publication,,,single
"Census 2010, Colorado, Current Census Tract (2017 revision)",3,1,0.00%,0.00%,0:00:07,1,publication,publication,,publication,,,single
"census 2010, colorado, current census tract (2017 revision)",1,1,0.00%,100.00%,0:05:39,2,publication,publication,,publication,,,single
"census 2010, Colorado, Current Census Tract (2017 revision)",1,1,0.00%,0.00%,0:00:05,1,publication,publication,,publication,,,single
"census 2010, colorado, current census tract 2017",1,1,0.00%,0.00%,0:00:59,1,publication,publication,,publication,,,single
"Census 2012, Colorado, Current Census Tracked (2017 revision)",1,1,0.00%,100.00%,0:00:06,0,publication,publication,,publication,,,single
census data,1,2,0.00%,100.00%,0:00:06,0,publication,topical,,publication,,,single
census tract shapefile,1,1,0.00%,100.00%,0:00:54,2,publication|format,datatype,,publication,format,,combined
census tracts,4,2,0.00%,37.50%,0:00:27,1.25,publication,publication,,publication,,,single
colorado dola - water and sanitation districts,1,2,0.00%,50.00%,0:01:56,1,publication,locational,,publication,,,single
colorado DOLA - water and sanitation districts,1,1,0.00%,100.00%,0:04:09,2,publication,locational,,publication,,,single
Colorado DOLA - Water and Sanitation Districts,1,2,0.00%,50.00%,0:04:39,1,publication,locational,,publication,,,single
Colorado DOLA- Water and Sanitation Districts,3,2,0.00%,50.00%,0:03:02,1,publication,locational,,publication,,,single
Colorado DOLA- water and sanitation districts,1,2,0.00%,50.00%,0:03:17,1,publication,locational,,publication,,,single
Colorado Geo library,1,1,0.00%,100.00%,0:00:02,0,publication,,,publication,,,single
Colorado Geolibrary,1,2,0.00%,100.00%,0:00:54,1,publication,,,publication,,,single
cotrex,1,3,100.00%,33.33%,0:02:47,1,publication,organization,,publication,,,single
COTREX,1,1,100.00%,0.00%,0:00:00,0,publication,organization,,publication,,,single
Current Census Tract,1,1,0.00%,0.00%,0:00:03,1,publication,publication,,publication,,,single
nlcd,1,2,0.00%,50.00%,0:00:30,1,publication,,,publication,,,single
zcta,1,1,0.00%,100.00%,0:00:03,0,publication,,,publication,,,single
200 million years,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
accidents,1,1,0.00%,100.00%,0:00:06,0,topical,topical,,topical,,,single
agriculture,1,1,0.00%,0.00%,0:00:06,1,topical,topical,,topical,,,single
airport,1,3,0.00%,0.00%,0:00:31,3,topical,topical,,topical,,,single
aliens,1,1,0.00%,100.00%,0:00:22,1,topical,topical,,topical,,,single
apis mellifera,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
apple,2,1,0.00%,100.00%,0:00:12,0.5,topical,topical,,topical,,,single
bald eagle,1,1,0.00%,100.00%,0:00:21,0,topical,topical,,topical,,,single
bat,1,1,0.00%,100.00%,0:00:19,0,topical,topical,,topical,,,single
bear,5,1.8,0.00%,22.22%,0:07:20,7.4,topical,topical,,topical,,,single
Bear,1,1,0.00%,0.00%,0:01:53,3,topical,topical,,topical,,,single
bears,2,1.5,0.00%,33.33%,0:02:26,5,topical,topical,,topical,,,single
beer,1,1,0.00%,100.00%,0:00:04,1,topical,topical,,topical,,,single
bees,1,1,0.00%,100.00%,0:00:05,1,topical,topical,,topical,,,single
bicycle,1,2,0.00%,100.00%,0:00:07,0,topical,topical,,topical,,,single
bicycle ridership,1,2,0.00%,50.00%,0:00:03,1,topical,topical,,topical,,,single
bison,2,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
black tailed prairie dog,1,1,0.00%,100.00%,0:00:21,1,topical,topical,,topical,,,single
blight,1,1,0.00%,100.00%,0:00:15,1,topical,topical,,topical,,,single
bllight,1,1,0.00%,100.00%,0:00:06,0,topical,topical,,topical,,,single
building footprints,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
building height,1,1,0.00%,0.00%,0:03:40,2,topical,locational,,topical,,,single
buildings,8,3.88,25.00%,6.45%,0:06:04,2.88,topical,topical,,topical,,,single
carbon,1,1,0.00%,100.00%,0:04:14,14,topical,topical,,topical,,,single
caribou,2,1,0.00%,100.00%,0:00:45,0,topical,topical,,topical,,,single
cats,1,1,0.00%,100.00%,0:00:04,0,topical,topical,,topical,,,single
cattle mutilations,1,1,0.00%,100.00%,0:00:08,1,topical,topical,,topical,,,single
census block temperature in denver,1,1,0.00%,0.00%,0:01:30,4,topical|locational|placename,placename|publication,,topical,locational,placename,combined
Chronic wasting,1,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
Climate,1,1,0.00%,100.00%,0:00:54,1,topical,topical,,topical,,,single
coal,3,1,33.33%,66.67%,0:00:03,0,topical,topical,,topical,,,single
commerial zoning,1,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
conservation,1,5,0.00%,20.00%,0:04:43,4,topical,topical,,topical,,,single
continental,1,1,0.00%,100.00%,0:00:11,0,topical,topical,,topical,,,single
cover,1,3,100.00%,0.00%,0:00:58,0,topical,topical,,topical,,,single
crane,1,1,0.00%,100.00%,0:00:23,0,topical,topical,,topical,,,single
Crimes,1,1,0.00%,100.00%,0:00:03,0,topical,topical,,topical,,,single
deer,2,2,50.00%,25.00%,0:00:14,0.5,topical,topical,,topical,,,single
deforestation,1,1,0.00%,0.00%,0:00:05,1,topical,topical,,topical,,,single
dispersed,1,1,0.00%,0.00%,0:18:02,2,topical,topical,,topical,,,single
dogs,1,2,0.00%,50.00%,0:00:52,1,topical,topical,,topical,,,single
eagle,3,1.67,33.33%,0.00%,0:05:30,1.67,topical,topical,,topical,,,single
el chupacabra,1,1,0.00%,0.00%,0:00:07,1,topical,topical,,topical,,,single
election,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
falcon,1,1,0.00%,100.00%,0:00:29,0,topical,topical,,topical,,,single
ferret,1,2,0.00%,50.00%,0:01:09,1,topical,topical,,topical,,,single
fire,2,1.5,0.00%,66.67%,0:06:53,4.5,topical,topical,,topical,,,single
fireblight,1,1,0.00%,100.00%,0:00:06,0,topical,topical,,topical,,,single
fish,3,2.33,0.00%,42.86%,0:07:48,1.67,topical,topical,,topical,,,single
food,1,1,0.00%,0.00%,0:02:03,1,topical,topical,,topical,,,single
fox,1,2,0.00%,50.00%,0:02:45,1,topical,topical,,topical,,,single
fracking,1,2,0.00%,50.00%,0:00:11,0,topical,locational,,topical,,,single
fraking,1,1,0.00%,100.00%,0:00:03,0,topical,locational,,topical,,,single
genealogy,1,1,0.00%,100.00%,0:00:03,0,topical,topical,,topical,,,single
geography,1,1,0.00%,100.00%,0:00:04,0,topical,topical,,topical,,,single
geolog*,1,1,0.00%,100.00%,0:00:13,0,topical,topical,,topical,,,single
geologic,1,1,0.00%,0.00%,0:00:02,1,topical,topical,,topical,,,single
geologt,1,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
geology,8,1.25,0.00%,50.00%,0:00:24,0.62,topical,topical,,topical,,,single
geology units,1,2,0.00%,0.00%,0:07:57,2,topical,topical,,topical,,,single
goat,2,3,0.00%,16.67%,0:04:53,3,topical,topical,,topical,,,single
goats,2,1.5,0.00%,66.67%,0:16:42,2,topical,topical,,topical,,,single
Gold,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
groundsnake,1,1,0.00%,0.00%,0:26:56,3,topical,topical,,topical,,,single
habitat,1,7,100.00%,14.29%,0:12:13,7,topical,topical,,topical,,,single
hawk,1,1,0.00%,100.00%,0:00:14,0,topical,topical,,topical,,,single
heron,1,2,0.00%,0.00%,0:00:57,3,topical,topical,,topical,,,single
hidrography,1,1,0.00%,100.00%,0:00:10,1,topical,topical,,topical,,,single
human,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
human footprint,1,1,0.00%,100.00%,0:00:38,2,topical,topical,,topical,,,single
human influence,1,1,0.00%,100.00%,0:00:06,1,topical,topical,,topical,,,single
hydrography,1,2,0.00%,50.00%,0:00:26,1,topical,topical,,topical,,,single
hydrology,3,4.67,0.00%,28.57%,0:03:00,6.67,topical,topical,,topical,,,single
ice,1,1,0.00%,0.00%,0:09:57,1,topical,topical,,topical,,,single
income,1,1,0.00%,0.00%,0:03:00,6,topical,topical,,topical,,,single
indangered species,1,1,0.00%,100.00%,0:01:21,4,topical,topical,,topical,,,single
indian,1,3,0.00%,33.33%,0:01:00,2,topical,topical,,topical,,,single
industrial,1,1,0.00%,100.00%,0:01:44,2,topical,topical,,topical,,,single
internet,1,1,0.00%,0.00%,0:00:15,2,topical,topical,,topical,,,single
invasive,1,1,0.00%,100.00%,0:00:04,0,topical,topical,,topical,,,single
irrigation,1,4,0.00%,0.00%,0:07:29,5,topical,topical,,topical,,,single
irrigiation,1,1,0.00%,100.00%,0:00:06,0,topical,topical,,topical,,,single
kit fox,1,1,0.00%,0.00%,0:04:36,7,topical,placename,,topical,,,single
land,1,1,0.00%,0.00%,0:00:06,1,topical,topical,,topical,,,single
land cover,3,1.67,33.33%,20.00%,0:00:19,1,topical,topical,,topical,,,single
land use,1,1,0.00%,0.00%,0:00:44,2,topical,topical,,topical,,,single
landed,1,1,0.00%,0.00%,0:00:05,1,topical,topical,,topical,,,single
landuse,1,1,0.00%,100.00%,0:00:02,0,topical,topical,,topical,,,single
lease,1,2,0.00%,50.00%,0:11:03,1,topical,topical,,topical,,,single
legislative,1,2,0.00%,50.00%,0:00:56,7,topical,topical,,topical,,,single
legistlative,1,1,0.00%,100.00%,0:00:04,0,topical,topical,,topical,,,single
lizard,1,1,0.00%,0.00%,0:00:36,1,topical,topical,,topical,,,single
local,2,1.5,0.00%,33.33%,0:00:10,0.5,topical,topical,,topical,,,single
lynx,1,5,0.00%,40.00%,0:04:30,1,topical,topical,,topical,,,single
marijuana,1,1,0.00%,100.00%,0:00:06,0,topical,topical,,topical,,,single
metadata,1,2,0.00%,0.00%,0:04:05,5,topical,topical,,topical,,,single
mice,1,1,0.00%,0.00%,0:00:03,1,topical,topical,,topical,,,single
migration,1,4,0.00%,0.00%,0:00:44,2,topical,topical,,topical,,,single
mineral,1,1,0.00%,0.00%,0:00:07,1,topical,topical,,topical,,,single
minerals,1,3,0.00%,0.00%,0:01:05,4,topical,topical,,topical,,,single
mines,3,1.67,33.33%,40.00%,0:00:16,1,topical,locational,,topical,,,single
moose,3,1.33,0.00%,50.00%,0:01:22,2.67,topical,topical,,topical,,,single
mountain,1,1,0.00%,100.00%,0:00:22,0,topical,topical,,topical,,,single
mountain goat,1,3,0.00%,33.33%,0:02:11,2,topical,topical,,topical,,,single
Mountain Goat,1,1,0.00%,0.00%,0:04:40,3,topical,topical,,topical,,,single
mountain lion,4,1.75,0.00%,14.29%,0:02:45,3,topical,topical,,topical,,,single
mountain lions,1,1,0.00%,0.00%,0:00:06,1,topical,topical,,topical,,,single
municipal,1,1,0.00%,100.00%,0:03:24,0,topical,topical,,topical,,,single
museum,1,1,0.00%,100.00%,0:11:17,58,topical,topical,,topical,,,single
native,1,2,100.00%,0.00%,0:00:19,1,topical,,,topical,,,single
native american,1,2,0.00%,50.00%,0:00:57,1,topical,,,topical,,,single
native us,1,3,0.00%,66.67%,0:15:26,22,topical,,,topical,,,single
natural gas,1,2,0.00%,50.00%,0:01:38,1,topical,topical,,topical,,,single
nuclear,1,1,0.00%,100.00%,0:00:05,0,topical,topical,,topical,,,single
oil,9,1.78,22.22%,37.50%,0:01:06,0.89,topical,topical,,topical,,,single
otter,1,1,0.00%,0.00%,0:00:12,1,topical,topical,,topical,,,single
owl,1,1,0.00%,100.00%,0:00:16,0,topical,topical,,topical,,,single
petrolium systems,1,1,0.00%,0.00%,0:00:08,1,topical,topical,,topical,,,single
pika,1,2,0.00%,100.00%,0:00:35,0,topical,topical,,topical,,,single
Pika,1,1,0.00%,100.00%,0:00:10,0,topical,topical,,topical,,,single
pike,1,1,0.00%,100.00%,0:06:23,0,topical,topical,,topical,,,single
pine,1,1,0.00%,0.00%,0:00:12,1,topical,topical,,topical,,,single
Police,1,3,0.00%,66.67%,0:00:27,0,topical,topical,,topical,,,single
pollution,1,2,100.00%,0.00%,0:00:28,1,topical,topical,,topical,,,single
population,2,2,0.00%,25.00%,0:00:46,1,topical,topical,,topical,,,single
Population,1,4,100.00%,0.00%,0:08:55,1,topical,topical,,topical,,,single
Population density,2,1.5,100.00%,0.00%,0:00:31,0.5,topical,topical,,topical,,,single
poverty,1,2,0.00%,0.00%,0:00:14,2,topical,topical,,topical,,,single
quakes,1,1,0.00%,0.00%,0:00:04,1,topical,topical,,topical,,,single
radio,1,2,0.00%,0.00%,0:01:51,3,topical,topical,,topical,,,single
recreation,2,1,0.00%,50.00%,0:00:21,0.5,topical,topical,,topical,,,single
ridership,2,1.5,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
river miles,1,3,0.00%,0.00%,0:00:18,1,topical,topical|locational,,topical,,,single
road kill,1,2,100.00%,50.00%,0:00:04,0,topical,topical,,topical,,,single
roadkill,2,1.5,0.00%,100.00%,0:03:25,4.5,topical,topical,,topical,,,single
roads,17,1.35,23.53%,47.83%,0:01:35,1.18,topical,topical,,topical,,,single
rock formation,1,1,100.00%,0.00%,0:00:00,0,topical,topical,,topical,,,single
rods,1,1,0.00%,100.00%,0:00:07,0,topical,topical,,topical,,,single
russian olive tree,1,1,0.00%,0.00%,0:00:02,1,topical,topical,,topical,,,single
russian olive trees,1,2,0.00%,50.00%,0:03:53,1,topical,topical,,topical,,,single
services,1,3,100.00%,0.00%,0:00:22,2,topical,topical,,topical,,,single
sewer,1,1,0.00%,100.00%,0:00:03,0,topical,topical,,topical,,,single
Shops,1,1,0.00%,100.00%,0:00:12,0,topical,topical,,topical,,,single
Snowpack levels,1,1,0.00%,100.00%,0:00:06,1,topical,topical,,topical,,,single
soil,2,1,0.00%,50.00%,0:00:15,0.5,topical,topical,,topical,,,single
soils,1,1,0.00%,100.00%,0:01:37,0,topical,topical,,topical,,,single
species,1,1,0.00%,0.00%,0:00:02,1,topical,topical,,topical,,,single
squirrel,1,1,0.00%,0.00%,0:00:43,1,topical,topical,,topical,,,single
Statewide,1,2,0.00%,100.00%,0:01:07,3,topical,topical,,topical,,,single
storm,1,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
Temperature,1,1,0.00%,0.00%,0:00:18,4,topical,topical,,topical,,,single
the great depression,1,2,0.00%,50.00%,0:00:10,2,topical,topical,,topical,,,single
the new deal,1,2,0.00%,50.00%,0:00:10,2,topical,topical,,topical,,,single
toad,1,2,0.00%,50.00%,0:27:33,1,topical,topical,,topical,,,single
toxic waste,1,2,0.00%,50.00%,0:00:09,1,topical,topical,,topical,,,single
transportation,1,1,0.00%,100.00%,0:00:07,0,topical,topical,,topical,,,single
tree,3,2.33,0.00%,14.29%,0:03:52,3.33,topical,topical,,topical,,,single
trees,5,2.2,20.00%,63.64%,0:01:46,1.6,topical,topical,,topical,,,single
trees river,1,1,0.00%,100.00%,0:00:05,0,topical,topical,,topical,,,single
triassic,1,1,0.00%,100.00%,0:00:08,0,topical,topical,,topical,,,single
trout,3,1.33,33.33%,50.00%,0:00:15,1.33,topical,topical,,topical,,,single
uranium,1,2,0.00%,50.00%,0:00:12,0,topical,topical,,topical,,,single
ute,1,1,0.00%,100.00%,0:00:06,1,topical,topical,,topical,,,single
utility,1,2,0.00%,0.00%,0:00:14,1,topical,topical,,topical,,,single
vegetation,3,1,33.33%,66.67%,0:05:17,0,topical,topical,,topical,,,single
voter,1,1,0.00%,100.00%,0:00:04,0,topical,topical,,topical,,,single
voting,2,1.5,0.00%,66.67%,0:00:13,1,topical,topical,,topical,,,single
water,13,2.46,7.69%,28.12%,0:03:58,2.38,topical,topical,,topical,,,single
water use,1,4,0.00%,25.00%,0:01:03,1,topical,topical,,topical,,,single
wildlife,6,3.33,16.67%,10.00%,0:05:57,1.5,topical,topical,,topical,,,single
wine,1,1,0.00%,100.00%,0:03:29,1,topical,topical,,topical,,,single
wolf,1,2,100.00%,0.00%,0:00:58,0,topical,topical,,topical,,,single
wolverine,1,2,0.00%,100.00%,0:01:25,0,topical,topical,,topical,,,single
9,1,1,100.00%,0.00%,0:00:00,0,unknown,,,unknown,,,single
2000,1,1,0.00%,100.00%,0:00:12,1,unknown,,,unknown,,,single
cwd,1,1,0.00%,100.00%,0:00:07,0,unknown,unknown,,unknown,,,single
rist,1,1,0.00%,0.00%,0:00:44,3,unknown,unknown,,unknown,,,single
tinney,1,2,0.00%,100.00%,0:00:14,1,unknown,unknown,,unknown,,,single
trib,1,1,0.00%,100.00%,0:00:04,0,unknown,unknown,,unknown,,,single
whetzel,1,2,0.00%,0.00%,0:00:35,4,unknown,,,unknown,,,single
