,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,Unnamed: 13,lowTerms,tkTerms,stems
0,base map,1,2.0,0.00%,0.00%,0:00:18,1.0,datatype,datatype,,datatype,,,single,base map,"['base', 'map']","['base', 'map']"
1,basemap,1,3.0,0.00%,33.33%,0:00:11,0.0,datatype,datatype,,datatype,,,single,basemap,['basemap'],['basemap']
2,basemaps,1,1.0,0.00%,100.00%,0:00:05,0.0,datatype,datatype,,datatype,,,single,basemaps,['basemaps'],['basemap']
3,contour,1,2.0,0.00%,100.00%,0:00:11,2.0,datatype,datatype,,datatype,,,single,contour,['contour'],['contour']
4,contours,1,1.0,0.00%,100.00%,0:00:02,0.0,datatype,datatype,,datatype,,,single,contours,['contours'],['contour']
5,DEM,2,1.0,50.00%,50.00%,0:00:15,0.0,datatype,datatype,,datatype,,,single,dem,['dem'],['dem']
6,dem,1,1.0,0.00%,100.00%,0:13:51,1.0,datatype,datatype,,datatype,,,single,dem,['dem'],['dem']
7,Dem,1,3.0,100.00%,0.00%,0:08:53,0.0,datatype,datatype,,datatype,,,single,dem,['dem'],['dem']
8,digital elevation,1,1.0,0.00%,100.00%,0:00:10,0.0,datatype,topical,,datatype,,,single,digital elevation,"['digital', 'elevation']","['digit', 'elev']"
9,digital elevation model,1,1.0,100.00%,0.00%,0:00:00,0.0,datatype,topical,,datatype,,,single,digital elevation model,"['digital', 'elevation', 'model']","['digit', 'elev', 'model']"
10,elevation,5,1.4,0.00%,42.86%,0:00:16,1.0,datatype,locational,,datatype,,,single,elevation,['elevation'],['elev']
11,hill shade,1,2.0,0.00%,100.00%,0:00:11,0.0,datatype,datatype,,datatype,,,single,hill shade,"['hill', 'shade']","['hill', 'shade']"
12,hillshade,1,2.0,0.00%,50.00%,0:00:05,1.0,datatype,datatype,,datatype,,,single,hillshade,['hillshade'],['hillshad']
13,lidar,1,1.0,0.00%,100.00%,0:00:04,0.0,datatype,datatype,,datatype,,,single,lidar,['lidar'],['lidar']
14,NDVI,1,1.0,0.00%,100.00%,0:00:09,0.0,datatype,,,datatype,,,single,ndvi,['ndvi'],['ndvi']
15,photogrammetry,1,1.0,0.00%,0.00%,0:00:40,4.0,datatype,datatype,,datatype,,,single,photogrammetry,['photogrammetry'],['photogrammetri']
16,slope,1,1.0,0.00%,100.00%,0:00:06,0.0,datatype,topical,,datatype,,,single,slope,['slope'],['slope']
17,topo,2,2.0,0.00%,50.00%,0:00:50,7.0,datatype,datatype,,datatype,,,single,topo,['topo'],['topo']
18,topographic,1,2.0,0.00%,100.00%,0:00:24,2.0,datatype,datatype,,datatype,,,single,topographic,['topographic'],['topograph']
19,geotiff,1,1.0,0.00%,0.00%,0:00:07,2.0,format,datatype,,format,,,single,geotiff,['geotiff'],['geotiff']
20,wms,1,1.0,0.00%,0.00%,0:00:56,4.0,format,,,format,,,single,wms,['wms'],['wm']
21,64 counties,1,2.0,0.00%,50.00%,0:00:17,0.0,locational,locational,,locational,,,single,64 counties,"['64', 'counties']","['64', 'counti']"
22,airports,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,airports,['airports'],['airport']
23,aquifer,1,2.0,100.00%,0.00%,0:00:08,1.0,locational,locational,,locational,,,single,aquifer,['aquifer'],['aquif']
24,area zoning,1,1.0,0.00%,100.00%,0:00:21,0.0,locational,locational,,locational,,,single,area zoning,"['area', 'zoning']","['area', 'zone']"
25,basins,1,2.0,0.00%,50.00%,0:10:50,0.0,locational,locational,,locational,,,single,basins,['basins'],['basin']
26,blocks,1,1.0,0.00%,0.00%,0:10:11,7.0,locational,topical,,locational,,,single,blocks,['blocks'],['block']
27,blue ribbon streams,1,1.0,0.00%,100.00%,0:00:05,0.0,locational,placename,,locational,,,single,blue ribbon streams,"['blue', 'ribbon', 'streams']","['blue', 'ribbon', 'stream']"
28,boundaries,1,2.0,0.00%,100.00%,0:00:10,0.0,locational,locational,,locational,,,single,boundaries,['boundaries'],['boundari']
29,breweries,1,1.0,0.00%,100.00%,0:00:04,1.0,locational,locational,,locational,,,single,breweries,['breweries'],['breweri']
30,buiding,1,1.0,0.00%,100.00%,0:00:04,0.0,locational,locational,,locational,,,single,buiding,['buiding'],['buid']
31,building,2,1.0,0.00%,0.00%,0:06:29,1.5,locational,locational,,locational,,,single,building,['building'],['build']
32,Building,2,1.0,0.00%,0.00%,0:00:11,1.0,locational,locational,,locational,,,single,building,['building'],['build']
33,camp,4,1.25,50.00%,60.00%,0:00:03,0.0,locational,locational,,locational,,,single,camp,['camp'],['camp']
34,Camp,1,1.0,0.00%,100.00%,0:00:49,0.0,locational,locational,,locational,,,single,camp,['camp'],['camp']
35,campground,1,2.0,0.00%,50.00%,0:00:11,1.0,locational,locational,,locational,,,single,campground,['campground'],['campground']
36,camping,1,1.0,0.00%,100.00%,0:00:06,0.0,locational,locational,,locational,,,single,camping,['camping'],['camp']
37,campsites,1,1.0,0.00%,100.00%,0:00:11,1.0,locational,locational,,locational,,,single,campsites,['campsites'],['campsit']
38,Campsites,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,campsites,['campsites'],['campsit']
39,campus,1,1.0,0.00%,0.00%,0:00:39,7.0,locational,locational,,locational,,,single,campus,['campus'],['campu']
40,Campus,1,1.0,0.00%,100.00%,0:04:43,1.0,locational,locational,,locational,,,single,campus,['campus'],['campu']
41,canals,1,1.0,0.00%,0.00%,0:51:23,7.0,locational,locational,,locational,,,single,canals,['canals'],['canal']
42,cities,6,1.33,0.00%,25.00%,0:00:21,1.0,locational,locational,,locational,,,single,cities,['cities'],['citi']
43,city,1,2.0,0.00%,0.00%,0:00:20,2.0,locational,locational,,locational,,,single,city,['city'],['citi']
44,congressional,2,1.0,0.00%,100.00%,0:00:06,0.0,locational,locational,,locational,,,single,congressional,['congressional'],['congression']
45,counties,9,3.56,0.00%,28.12%,0:01:01,1.0,locational,locational,,locational,,,single,counties,['counties'],['counti']
46,countties,1,1.0,0.00%,100.00%,0:00:09,1.0,locational,locational,,locational,,,single,countties,['countties'],['countti']
47,county,5,2.0,20.00%,20.00%,0:00:19,1.6,locational,locational,,locational,,,single,county,['county'],['counti']
48,Crash,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,crash,['crash'],['crash']
49,creek,1,1.0,0.00%,0.00%,0:27:42,24.0,locational,locational,,locational,,,single,creek,['creek'],['creek']
50,dispenseries,1,1.0,0.00%,100.00%,0:00:12,0.0,locational,locational,,locational,,,single,dispenseries,['dispenseries'],['dispenseri']
51,ditches,1,2.0,0.00%,0.00%,0:05:44,1.0,locational,locational,,locational,,,single,ditches,['ditches'],['ditch']
52,dried up towns water,1,2.0,0.00%,100.00%,0:03:42,2.0,locational|topical,locational,,locational,topical,,combined,dried up towns water,"['dried', 'up', 'towns', 'water']","['dri', 'up', 'town', 'water']"
53,ecoregion,1,1.0,0.00%,100.00%,0:00:07,0.0,locational,locational,,locational,,,single,ecoregion,['ecoregion'],['ecoregion']
54,field,1,2.0,0.00%,0.00%,0:00:13,2.0,locational,locational,,locational,,,single,field,['field'],['field']
55,Fire Departments,1,3.0,0.00%,66.67%,0:00:34,1.0,locational,locational,,locational,,,single,fire departments,"['fire', 'departments']","['fire', 'depart']"
56,floodplain,1,2.0,0.00%,50.00%,0:03:25,1.0,locational,locational,,locational,,,single,floodplain,['floodplain'],['floodplain']
57,fluvial planes,1,1.0,0.00%,100.00%,0:00:30,0.0,locational,locational,,locational,,,single,fluvial planes,"['fluvial', 'planes']","['fluvial', 'plane']"
58,food stores,1,1.0,0.00%,100.00%,0:00:14,1.0,locational,locational,,locational,,,single,food stores,"['food', 'stores']","['food', 'store']"
59,Food Stores,1,3.0,0.00%,33.33%,0:08:11,4.0,locational,locational,,locational,,,single,food stores,"['food', 'stores']","['food', 'store']"
60,forest,1,1.0,0.00%,100.00%,0:00:18,1.0,locational,locational,,locational,,,single,forest,['forest'],['forest']
61,Ghost town,1,1.0,0.00%,0.00%,0:00:10,1.0,locational,locational,,locational,,,single,ghost town,"['ghost', 'town']","['ghost', 'town']"
62,glacier,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,glacier,['glacier'],['glacier']
63,glaciers,2,1.0,50.00%,50.00%,0:00:03,0.5,locational,locational,,locational,,,single,glaciers,['glaciers'],['glacier']
64,grocery stores,1,1.0,0.00%,100.00%,0:00:10,0.0,locational,locational,,locational,,,single,grocery stores,"['grocery', 'stores']","['groceri', 'store']"
65,Grocery stores,1,1.0,0.00%,100.00%,0:00:10,0.0,locational,locational,,locational,,,single,grocery stores,"['grocery', 'stores']","['groceri', 'store']"
66,ground water,1,2.0,0.00%,50.00%,0:00:36,1.0,locational,locational,,locational,,,single,ground water,"['ground', 'water']","['ground', 'water']"
67,groundwater,2,1.0,0.00%,100.00%,0:00:04,0.0,locational,locational,,locational,,,single,groundwater,['groundwater'],['groundwat']
68,Highway,1,1.0,0.00%,100.00%,0:00:28,1.0,locational,locational,,locational,,,single,highway,['highway'],['highway']
69,highway crossing,1,5.0,0.00%,20.00%,0:02:35,2.0,locational,locational,,locational,,,single,highway crossing,"['highway', 'crossing']","['highway', 'cross']"
70,highways,6,1.0,0.00%,83.33%,0:01:48,0.33,locational,locational,,locational,,,single,highways,['highways'],['highway']
71,Hospitals,1,4.0,0.00%,25.00%,0:01:39,5.0,locational,locational,,locational,,,single,hospitals,['hospitals'],['hospit']
72,houses,1,4.0,0.00%,25.00%,0:26:34,1.0,locational,locational,,locational,,,single,houses,['houses'],['hous']
73,Houses with more than 4 bedrooms,1,3.0,0.00%,0.00%,0:00:12,1.0,locational|topical,locational,,locational,topical,,combined,houses with more than 4 bedrooms,"['houses', 'with', 'more', 'than', '4', 'bedrooms']","['hous', 'with', 'more', 'than', '4', 'bedroom']"
74,indigineous land,1,3.0,0.00%,66.67%,0:00:09,0.0,locational,locational,,locational,,,single,indigineous land,"['indigineous', 'land']","['indigin', 'land']"
75,indigineous pipelines,1,1.0,0.00%,100.00%,0:00:02,0.0,locational,locational,,locational,,,single,indigineous pipelines,"['indigineous', 'pipelines']","['indigin', 'pipelin']"
76,Industrial land zoning,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,industrial land zoning,"['industrial', 'land', 'zoning']","['industri', 'land', 'zone']"
77,industrial zoning,1,1.0,0.00%,100.00%,0:00:05,0.0,locational,locational,,locational,,,single,industrial zoning,"['industrial', 'zoning']","['industri', 'zone']"
78,industry area zoning,1,1.0,0.00%,100.00%,0:00:05,0.0,locational,locational,,locational,,,single,industry area zoning,"['industry', 'area', 'zoning']","['industri', 'area', 'zone']"
79,industry zoning,1,1.0,0.00%,100.00%,0:00:09,0.0,locational,locational,,locational,,,single,industry zoning,"['industry', 'zoning']","['industri', 'zone']"
80,invasive trees,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,invasive trees,"['invasive', 'trees']","['invas', 'tree']"
81,lakes,5,1.4,20.00%,57.14%,0:02:15,0.4,locational,locational,,locational,,,single,lakes,['lakes'],['lake']
82,landslide,1,11.0,0.00%,0.00%,0:04:24,12.0,locational,locational,,locational,,,single,landslide,['landslide'],['landslid']
83,legistlative districts,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,legistlative districts,"['legistlative', 'districts']","['legistl', 'district']"
84,libraries,1,2.0,0.00%,50.00%,0:00:41,1.0,locational,locational,,locational,,,single,libraries,['libraries'],['librari']
85,library,2,1.0,0.00%,50.00%,0:02:35,2.5,locational,locational,,locational,,,single,library,['library'],['librari']
86,Licensed Daycare Facilities,1,5.0,0.00%,20.00%,0:01:30,5.0,locational,locational,,locational,,,single,licensed daycare facilities,"['licensed', 'daycare', 'facilities']","['licens', 'daycar', 'facil']"
87,markets,1,1.0,0.00%,100.00%,0:00:08,0.0,locational,locational,,locational,,,single,markets,['markets'],['market']
88,mine,5,1.6,20.00%,50.00%,0:02:10,2.2,locational,locational,,locational,,,single,mine,['mine'],['mine']
89,mountains,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,mountains,['mountains'],['mountain']
90,national park,1,1.0,0.00%,100.00%,0:18:57,2.0,locational,locational,,locational,,,single,national park,"['national', 'park']","['nation', 'park']"
91,National park,1,3.0,100.00%,0.00%,0:00:22,0.0,locational,locational,,locational,,,single,national park,"['national', 'park']","['nation', 'park']"
92,national parks,1,2.0,0.00%,50.00%,0:02:05,2.0,locational,locational,,locational,,,single,national parks,"['national', 'parks']","['nation', 'park']"
93,native land,1,2.0,0.00%,50.00%,0:00:14,1.0,locational,locational,,locational,,,single,native land,"['native', 'land']","['nativ', 'land']"
94,open space,2,1.0,0.00%,50.00%,0:12:43,0.5,locational,locational,,locational,,,single,open space,"['open', 'space']","['open', 'space']"
95,orchard,1,1.0,0.00%,100.00%,0:00:06,1.0,locational,locational,,locational,,,single,orchard,['orchard'],['orchard']
96,parcel,1,1.0,0.00%,0.00%,0:00:30,2.0,locational,topical,,locational,,,single,parcel,['parcel'],['parcel']
97,parcels,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,topical,,locational,,,single,parcels,['parcels'],['parcel']
98,park,1,16.0,100.00%,0.00%,0:01:38,7.0,locational,locational,,locational,,,single,park,['park'],['park']
99,parks,4,2.5,25.00%,0.00%,0:00:23,1.0,locational,locational,,locational,,,single,parks,['parks'],['park']
100,peaks,1,1.0,0.00%,100.00%,0:00:15,0.0,locational,locational,,locational,,,single,peaks,['peaks'],['peak']
101,places,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,topical,,locational,,,single,places,['places'],['place']
102,Police Departments,1,2.0,0.00%,50.00%,0:00:11,0.0,locational,locational,,locational,,,single,police departments,"['police', 'departments']","['polic', 'depart']"
103,polluted area zoning,1,1.0,0.00%,100.00%,0:00:09,0.0,locational,locational,,locational,,,single,polluted area zoning,"['polluted', 'area', 'zoning']","['pollut', 'area', 'zone']"
104,Precinct,1,3.0,0.00%,0.00%,0:00:43,4.0,locational,locational,,locational,,,single,precinct,['precinct'],['precinct']
105,precints,1,1.0,0.00%,100.00%,0:00:05,0.0,locational,locational,,locational,,,single,precints,['precints'],['precint']
106,protected lands,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,protected lands,"['protected', 'lands']","['protect', 'land']"
107,public lands,1,4.0,100.00%,0.00%,0:00:12,0.0,locational,locational,,locational,,,single,public lands,"['public', 'lands']","['public', 'land']"
108,raods,1,1.0,0.00%,100.00%,0:00:04,0.0,locational,locational,,locational,,,single,raods,['raods'],['raod']
109,reservations,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,reservations,['reservations'],['reserv']
110,reservoirs,1,1.0,0.00%,0.00%,0:00:38,3.0,locational,locational,,locational,,,single,reservoirs,['reservoirs'],['reservoir']
111,riparian,1,2.0,0.00%,50.00%,0:06:15,1.0,locational,locational,,locational,,,single,riparian,['riparian'],['riparian']
112,river,4,1.0,0.00%,75.00%,0:06:44,0.25,locational,locational,,locational,,,single,river,['river'],['river']
113,River,1,1.0,0.00%,100.00%,0:01:36,5.0,locational,locational,,locational,,,single,river,['river'],['river']
114,rivers,9,3.44,22.22%,29.03%,0:01:35,1.44,locational,locational,,locational,,,single,rivers,['rivers'],['river']
115,Rivers,1,2.0,0.00%,50.00%,0:00:44,2.0,locational,locational,,locational,,,single,rivers,['rivers'],['river']
116,road,2,2.0,0.00%,50.00%,0:08:34,2.0,locational,locational,,locational,,,single,road,['road'],['road']
117,Road,1,1.0,0.00%,0.00%,0:00:05,1.0,locational,locational,,locational,,,single,road,['road'],['road']
118,Roads,1,2.0,0.00%,50.00%,0:02:56,2.0,locational,locational,,locational,,,single,roads,['roads'],['road']
119,ROADS,1,1.0,0.00%,100.00%,0:00:07,0.0,locational,locational,,locational,,,single,roads,['roads'],['road']
120,schools,2,1.5,0.00%,33.33%,0:03:32,0.5,locational,locational,,locational,,,single,schools,['schools'],['school']
121,sinkholes,1,2.0,0.00%,50.00%,0:00:05,1.0,locational,locational,,locational,,,single,sinkholes,['sinkholes'],['sinkhol']
122,south,1,1.0,0.00%,100.00%,0:08:36,0.0,locational,locational,,locational,,,single,south,['south'],['south']
123,south facing,1,1.0,0.00%,100.00%,0:00:04,0.0,locational,locational,,locational,,,single,south facing,"['south', 'facing']","['south', 'face']"
124,south slope,1,1.0,0.00%,100.00%,0:09:44,0.0,locational,locational,,locational,,,single,south slope,"['south', 'slope']","['south', 'slope']"
125,special trout water,1,1.0,0.00%,100.00%,0:00:02,0.0,locational,locational,,locational,,,single,special trout water,"['special', 'trout', 'water']","['special', 'trout', 'water']"
126,Springs,1,2.0,100.00%,0.00%,0:00:10,0.0,locational,locational,,locational,,,single,springs,['springs'],['spring']
127,state,1,3.0,100.00%,0.00%,0:00:19,0.0,locational,locational,,locational,,,single,state,['state'],['state']
128,Statewide Fire Department,1,2.0,0.00%,100.00%,0:00:06,0.0,locational,topical,,locational,,,single,statewide fire department,"['statewide', 'fire', 'department']","['statewid', 'fire', 'depart']"
129,Statewide Fire Departments,1,6.0,0.00%,33.33%,0:00:23,0.0,locational,topical,,locational,,,single,statewide fire departments,"['statewide', 'fire', 'departments']","['statewid', 'fire', 'depart']"
130,stream,5,1.8,0.00%,55.56%,0:00:35,1.0,locational,locational,,locational,,,single,stream,['stream'],['stream']
131,stream watershed,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,stream watershed,"['stream', 'watershed']","['stream', 'watersh']"
132,streams,17,1.94,5.88%,45.45%,0:02:21,1.71,locational,locational,,locational,,,single,streams,['streams'],['stream']
133,streams and rivers,1,1.0,0.00%,100.00%,0:00:06,0.0,locational,locational,,locational,,,single,streams and rivers,"['streams', 'and', 'rivers']","['stream', 'and', 'river']"
134,street,2,1.5,50.00%,0.00%,0:00:17,1.0,locational,locational,,locational,,,single,street,['street'],['street']
135,summits,1,1.0,0.00%,100.00%,0:00:08,0.0,locational,locational,,locational,,,single,summits,['summits'],['summit']
136,supermarkets,1,1.0,0.00%,100.00%,0:00:07,0.0,locational,locational,,locational,,,single,supermarkets,['supermarkets'],['supermarket']
137,towns,2,4.0,0.00%,25.00%,0:02:59,2.0,locational,locational,,locational,,,single,towns,['towns'],['town']
138,towns that disappeard because of water,1,2.0,0.00%,100.00%,0:00:08,0.0,locational|topical,topical,,locational,topical,,combined,towns that disappeard because of water,"['towns', 'that', 'disappeard', 'because', 'of', 'water']","['town', 'that', 'disappeard', 'becaus', 'of', 'water']"
139,township,1,1.0,0.00%,0.00%,0:00:04,1.0,locational,locational,,locational,,,single,township,['township'],['township']
140,tract,1,2.0,0.00%,50.00%,0:06:56,4.0,locational,publication,,locational,,,single,tract,['tract'],['tract']
141,tracts,3,2.0,0.00%,50.00%,0:03:09,1.67,locational,publication,,locational,,,single,tracts,['tracts'],['tract']
142,trail,1,2.0,0.00%,50.00%,0:02:02,1.0,locational,locational,,locational,,,single,trail,['trail'],['trail']
143,trailhead,1,2.0,0.00%,50.00%,0:00:28,1.0,locational,locational,,locational,,,single,trailhead,['trailhead'],['trailhead']
144,trails,8,1.62,12.50%,15.38%,0:03:33,1.5,locational,locational,,locational,,,single,trails,['trails'],['trail']
145,tunnel,3,1.0,0.00%,100.00%,0:00:49,0.67,locational,locational,,locational,,,single,tunnel,['tunnel'],['tunnel']
146,tunnels,2,1.5,0.00%,66.67%,0:00:06,0.0,locational,locational,,locational,,,single,tunnels,['tunnels'],['tunnel']
147,Tunnels,1,1.0,0.00%,100.00%,0:02:33,6.0,locational,locational,,locational,,,single,tunnels,['tunnels'],['tunnel']
148,uranium mining,1,2.0,0.00%,50.00%,0:25:29,3.0,locational,locational,,locational,,,single,uranium mining,"['uranium', 'mining']","['uranium', 'mine']"
149,water and santiation districts,1,1.0,0.00%,100.00%,0:00:35,2.0,locational,locational,,locational,,,single,water and santiation districts,"['water', 'and', 'santiation', 'districts']","['water', 'and', 'santiat', 'district']"
150,Water basin,1,2.0,0.00%,50.00%,0:00:06,1.0,locational,locational,,locational,,,single,water basin,"['water', 'basin']","['water', 'basin']"
